Region, District No, District, School No,Type,County, School, Email, Title, Status, Phone1, Fax, Grade Levels,ADDRESS,geometry,lng,lat
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9782,Private,Shelby,First Assembly Christian School,bsanders@facsmemphis.org,Principal: Bryan Sanders,A,(901) 458-5543,(901) 324-3558,"P4,PK,K,1,2,3,4,5,6,7,8,9,10,11,12","8650 Walnut Grove RD, Cordova, TN 38018",POINT (-89.7739354 35.1285538),-89.7739354,35.1285538
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9016,Private,Knox,First Baptist Academy,Jayscarbro@fbaeagles.org,Principal: Jay Scarbro,A,(865) 947-8503,(800) 961-6565,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","7706 Ewing RD, Powell, TN 37849",POINT (-84.0289689 36.0370165),-84.0289689,36.0370165
SOUTH CENTRAL CORE REGIONAL OFFICE,590,MARSHALL COUNTY,30,Public,Marshall,Forrest School,phifera1@k12marshalltn.net,Principal: Angie Phifer,A,(931) 246-4733,(931) 246-4732,"7,8,9,10,11,12","310 North Horton PKWY, Chapel Hill, TN 37034",POINT (-86.6876448 35.6286415),-86.6876448,35.6286415
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,25,Public,Wayne,Frank Hughes School,greg.morris@waynetn.net,Principal: Greg Morris,A,(931) 676-3325,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","444 Main ST, Clifton, TN 38425",POINT (-87.9940278 35.3820612),-87.9940278,35.3820612
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9031,Private,Williamson,Franklin Christian Academy,hharris@franlinchristianacademy.com,Principal: Hugh Harris,A,(615) 599-9229,(615) 599-9441,"5,6,7,8,9,10,11,12","818 Old Charlotte Pike East, Franklin, TN 37066",POINT (-86.9113037 35.9333959),-86.9113037,35.9333959
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9130,Private,Williamson,Franklin Christian Academy - Umbrella Program,hharris@franklinchristianacademy.com,Principal: Hugh Harris,A,(615) 599-9229,,"K,1,2,3,4,5,6,7,8,9,10,11,12","818 Old Charlotte Pike East, Franklin, TN 37066",POINT (-86.9113037 35.9333959),-86.9113037,35.9333959
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9032,Private,Williamson,Franklin Classical School,jdokkestul@franklinclassical.com			,Principal: Jeff Dokkestul,A,,(615) 528-9432,"K,1,2,3,4,5,6,7,8,9,10,11,12","408 Church St. 2nd Floor, Franklin, TN 37064",POINT (-86.8701245 35.9229479),-86.8701245,35.9229479
SOUTH CENTRAL CORE REGIONAL OFFICE,260,FRANKLIN COUNTY,50,Public,Franklin,Franklin Co High School,roger.alsup@fcstn.net,Principal: Roger Alsup,A,(931) 967-2821,,"9,10,11,12","833 Bypass RD, Winchester, TN 37398",POINT (-86.0865668 35.1887422),-86.0865668,35.1887422
MID CUMBERLAND CORE REGIONAL OFFICE,940,WILLIAMSON COUNTY,40,Public,Williamson,Franklin High School,shanep@wcs.edu,Principal: Shane Pantall,A,(615) 472-4450,(615) 472-4478,"N,9,10,11,12","810 Hillsboro RD, Franklin, TN 37064",POINT (-86.8778567 35.9394199),-86.8778567,35.9394199
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9075,Private,Davidson,Franklin Road Academy,caseys@franklinroadacademy.com,Principal: Sean Casey,A,(615) 832-8845,(615) 834-4167,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12","4700 Franklin RD, Nashville, TN 37220",POINT (-86.769847 36.0842658),-86.769847,36.0842658
MID CUMBERLAND CORE REGIONAL OFFICE,9751,MURFREESBORO PRIVATE SCHOOLS,9010,Private,Rutherford,Franklin Road Christian School,frcs@frbc.com,Principal: David Justice,A,(615) 890-0894,(615) 893-2837,"K,1,2,3,4,5,6,7,8,9,10,11,12","3124 Franklin RD, Murfeeesboro, TN 37128",POINT (-86.4529933 35.8462766),-86.4529933,35.8462766
MID CUMBERLAND CORE REGIONAL OFFICE,940,WILLIAMSON COUNTY,42,Public,Williamson,Fred J Page High School,katherine.hill@wcs.edu,Principal: Dr. Katherine Hill,A,(615) 472-4730,(615) 472-4751,"N,9,10,11,12","6281 Arno RD, Franklin, TN 37064",POINT (-86.7542179 35.8480447),-86.7542179,35.8480447
SOUTH CENTRAL CORE REGIONAL OFFICE,9500,LAWRENCE COUNTY PRIVATE SCHOOLS,9032,Private,Lawrence,Freedom Hill Christian School,,Principal: S. L. Mcdonald,A,(931) 829-2765,,"K,1,2,3,4,5,6,7,8,9,10,11,12","4300 Highway 43, North, Ethridge, TN 38456",POINT (-87.3481632 35.1592381),-87.3481632,35.1592381
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,8234,Public Charter,Shelby,Freedom Preparatory Academy Flagship,kkucharski@freedomprep.org,Principal: Kyle Kucharski,A,(901) 881-1149,,"6,7,8,9,10,11,12","5132 Jonetta RD, Memphis, TN 38109",POINT (-90.07372769999999 35.00893200000001),-90.07372769999999,35.00893200000001
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,8355,Public Charter,Shelby,Freedom Preparatory Academy Whitehaven Middle at Brownlee Campus,info@freedomprep.org,Principal: Larry Thompson,A,(901) 425-2019,(901) 435-6043,"6,7,8,9,10,11,12","3750 Millbranch RD, Memphis, TN 38109",POINT (-90.00738249999999 35.0462988),-90.00738249999999,35.0462988
UPPER CUMBERLAND CORE REGIONAL OFFICE,9950,WILSON COUNTY PRIVATE SCHOOLS,9005,Private,Wilson,Friendship Christian School,kchaffin@friendshipchristian.org,Principal: Kristi Chaffin,A,(615) 449-1573,(615) 449-2769,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12","5400 Coles Ferry PIKE, Lebanon, TN 37087",POINT (-86.34108239999999 36.269227),-86.34108239999999,36.269227
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,90,Public,Knox,Fulton High School,seth.smith@knoxschools.org,Principal: Seth Smith,A,(865) 594-1240,(865) 594-1228,"9,10,11,12","2509 North Broadway, Knoxville, TN 37917",POINT (-83.923338 35.9940316),-83.923338,35.9940316
MID CUMBERLAND CORE REGIONAL OFFICE,830,SUMNER COUNTY,25,Public,Sumner,Gallatin Senior High School,ron.becker@sumnerschools.org,Principal: Dr. Ron Becker,A,(615) 452-2621,(615) 451-5426,"9,10,11,12","700 Dan P. Herron DR, Gallatin, TN 37066",POINT (-86.4609476 36.3786139),-86.4609476,36.3786139
SOUTHWEST CORE REGIONAL OFFICE,9240,FAYETTE COUNTY PRIVATE SCHOOLS,9006,Private,Fayette,Gallaway Christian Academy,gallawayministry@gmail.com,Principal: Ronald Grunewald,A,(901) 867-3507,(901) 317-6669,"K,1,2,3,4,5,6,7,8,9,10,11,12","377 Main ST, Gallaway, TN 38036",POINT (-89.6172373 35.3257244),-89.6172373,35.3257244
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,52,Public,Sevier,Gary Hardin Academy,jasonkerley@sevier.org,Principal: Jason Kerley,A,,(865) 428-8947,"6,7,8,9,10,11,12","2540 Boyds Creek RD, Sevierville, TN 37876",POINT (-83.6677967 35.9208596),-83.6677967,35.9208596
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9752,Private,Williamson,Gateway Academy at the Learning Lab,bpowers@mylearnlab.com,Principal: Blair Powers,A,(615) 377-2929,,"1,2,3,4,5,6,7,8,9,10,11,12","5500 Maryland Way, Brentwood, TN 37027",POINT (-86.815601 36.037528),-86.815601,36.037528
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9510,Private,Davidson,Gateway Academy at the Learning Lab,rmathis@mylearnlab.com,Principal: Ryan Mathis,A,(615) 321-7272,,"K,1,2,3,4,5,6,7,8,9,10,11,12","2416 21st Ave South, Nashville, TN 37212",POINT (-86.8039093 36.1265677),-86.8039093,36.1265677
EAST TENNESSEE CORE REGIONAL OFFICE,9050,BLOUNT COUNTY PRIVATE SCHOOLS,9020,Private,Blount,Gateway Center Helen Ross McNabb,bethany.ott@mcnabb.org,Principal: Bethany Ott,A,(865) 380-5089,(865) 380-5088,"N,7,8,9,10,11,12","3845 Holston College RD, Louisville, TN 37777",POINT (-84.1166137 35.8230452),-84.1166137,35.8230452
SOUTHWEST CORE REGIONAL OFFICE,9550,MCNAIRY COUNTY PRIVATE SCHOOLS,9035,Private,McNairy,Gateway Christian Academy,gatewaychristian1995@yahoo.com,Principal: Deborah Price,A,(731) 934-9476,(731) 934-9477,"K,1,2,3,4,5,6,7,8,9,10,11,12","2342 Refuge RD, Bethel Springs, TN 38315",POINT (-88.6720754 35.2763159),-88.6720754,35.2763159
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9039,Private,Shelby,Gateway Christian Schools,shaun.gateway@gmail.com,Principal: Bryan Thompson,A,(901) 454-9958,(901) 323-0914,"1,2,3,4,5,6,7,8,9,10,11,12","4070 Macon, Memphis, TN 38122",POINT (-89.92546929999999 35.1627756),-89.92546929999999,35.1627756
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,20,Public,Sevier,Gatlinburg Pittman High,garystinnett@sevier.org,Principal: Gary Stinnett,A,(865) 436-5637,(865) 436-2567,"10,11,12","150 Proffitt RD, Gatlinburg, TN 37738",POINT (-83.4476813 35.7349734),-83.4476813,35.7349734
SOUTH CENTRAL CORE REGIONAL OFFICE,9510,LEWIS COUNTY PRIVATE SCHOOLS,9035,Private,Lewis,General Assembly Academy CHOICE,cayers@gaahome.com,Principal: Debbie Landers,A,,,"K,1,2,3,4,5,6,7,8,9,10,11,12","161 Baker RD, Hohenwald, TN 38462",POINT (-87.502878 35.56053660000001),-87.502878,35.56053660000001
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9824,Private,Williamson,Generations Christian Academy,lwall@generationschurchonline.org,Principal: LaSandra Wall,A,,(615) 599-1560,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","408 Church ST, Franklin, TN 37064",POINT (-86.8701245 35.9229479),-86.8701245,35.9229479
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9055,Private,Davidson,Genesis Academy,admin@genesislearn.org,Principal: Megan Pyle,A,,(615) 833-2141,"K,1,2,3,4,4,5,6,7,8,9,10,11,12","430 Allied DR, Nashville, TN 37211",POINT (-86.7408123 36.0964169),-86.7408123,36.0964169
MID CUMBERLAND CORE REGIONAL OFFICE,9630,MONTGOMERY COUNTY PRIVATE SCHOOLS,9025,Private,Montgomery,Genesis Learning Center of Montgomery Co TLC,pbyrd@genesislean.org,Principal: Pamela Byrd,A,(931) 647-8474,(931) 552-3048,"8,9,10,11,12","1881 D Ft. Campbell BLVD, Clarksville, TN 37042",POINT (-87.41269819999999 36.5878847),-87.4126982,36.5878847
MID CUMBERLAND CORE REGIONAL OFFICE,9750,RUTHERFORD COUNTY PRIVATE SCHOOLS,9045,Private,Rutherford,Genesis Rutherford Academy,kjones@genesislearn.org,Principal: Ken Jones,A,(615) 895-1961,(615) 898-1769,"K,1,2,3,4,5,6,7,8,9,10,11,12","2320 Southgate BLVD, Murfreesboro, TN 37128",POINT (-86.3997849 35.8118856),-86.3997849,35.8118856
MID CUMBERLAND CORE REGIONAL OFFICE,9751,MURFREESBORO PRIVATE SCHOOLS,9071,Private,Rutherford,Genesis Teen Learning Center of Rutherford County,crippy@genesislearn.org,Principal: Charles Rippy,A,(615) 898-0051,(615) 907-6513,"6,7,8,9,10,11,12","802 S. Church ST, Murfreesboro, TN 37130",POINT (-86.39330179999999 35.8378209),-86.39330179999999,35.8378209
SOUTHWEST CORE REGIONAL OFFICE,9570,MADISON COUNTY PRIVATE SCHOOLS,9740,Private,Madison,George Thomas Jr. Academy at Eden,sgatlin@youthtown.net,Principal: Scott Gatlin,A,(731) 736-3850,,"7,7,8,9,10,11,12","59 Luray RD, Beech Bluff, TN 38313",POINT (-88.626981 35.5968677),-88.626981,35.5968677
SOUTHWEST CORE REGIONAL OFFICE,9570,MADISON COUNTY PRIVATE SCHOOLS,9030,Private,Madison,George Thomas Jr. Academy at Jericho,sgatlin@youthtown.net,Principal: Scott Gatlin,A,(731) 423-2671,(731) 265-0769,"7,8,9,10,11","3641 Youth Town RD, Pinson, TN 38366",POINT (-88.7480843 35.5027449),-88.7480843,35.5027449
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,110,Public,Shelby,Germantown High,townsendma@scsk12.org,Principal: Marvin Townsend,A,(901) 756-2350,,"9,10,11,12","7653 Old Poplar Pike, Germantown, TN 38138",POINT (-89.80779919999999 35.0823537),-89.80779919999999,35.0823537
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,100,Public,Knox,Gibbs High School,jason.webster@knoxschools.org,Principal: Jason Webster,A,(865) 689-9130,(865) 689-9128,"9,10,11,12","7628 Tazewell PIKE, Corryton, TN 37721",POINT (-83.8509778 36.1274908),-83.8509778,36.1274908
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,275,GIBSON CO SP DIST,33,Public,Gibson,Gibson County High School,hughesj@gcssd.org,Principal: Jim Hughes,A,(731) 692-3616,(731) 692-2123,"9,10,11,12","130 Trenton HWY, Dyer, TN 38330",POINT (-88.96653909999999 36.0236769),-88.96653909999999,36.0236769
SOUTH CENTRAL CORE REGIONAL OFFICE,280,GILES COUNTY,45,Public,Giles,Giles Co High School,dthomas@gcboe.us,Principal: Don Thomas,A,(931) 363-6532,,"9,10,11,12","200 Sheila Frost DR, Pulaski, TN 38478",POINT (-87.02759999999999 35.1882984),-87.02759999999999,35.1882984
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9065,Private,Hamilton,Girls Preparatory School,kwalker@gps.edu,Principal: Kirk Walker,A,(423) 634-7600,,"6,7,8,9,10,11,12","205 Island AVE, Chattanooga, TN 37405",POINT (-85.298918 35.0613053),-85.298918,35.0613053
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,920,WEAKLEY COUNTY,15,Public,Weakley,Gleason School,lee.lawrence@wcsk12tn.net,Principal: Lee Lawrence,A,(731) 648-5351,(731) 648-9199,"P4,P3,K,1,2,3,4,5,6,7,8,9,10,11,12","92-99 State Championship DR, Gleason, TN 38229",POINT (-88.6126764 36.2131543),-88.6126764,36.2131543
MID CUMBERLAND CORE REGIONAL OFFICE,190,DAVIDSON COUNTY,245,Public,Davidson,Glencliff High School,clint.wilson@mnps.org,Principal: Clint Wilson,A,(615) 333-5070,,"9,10,11,12","160 Antioch PIKE, Nashville, TN 37211",POINT (-86.7273343 36.1020313),-86.7273343,36.1020313
UPPER CUMBERLAND CORE REGIONAL OFFICE,9930,WHITE COUNTY PRIVATE SCHOOLS,9002,Private,White,Golden Mountain Academy,loel@goldenmm.org,Principal: Emory Thompson,A,(931) 265-5329,,"K,1,2,3,4,5,6,7,8,9,10,11,12","1950 Stewart RD, Sparta, TN 38583",POINT (-85.4603812 36.0002718),-85.4603812,36.0002718
SOUTHWEST CORE REGIONAL OFFICE,9390,HENDERSON COUNTRY PRIVATE SCHOOLS,9701,Private,Henderson,Good News Christian School,lori.barber@gnwconline.net,Principal: Lori Barber,A,(731) 968-2980,,"K,1,2,3,4,5,6,7,8,9,10,11,12","675 Reed Road, Lexington, TN 38351",POINT (-88.3293589 35.6227467),-88.3293589,35.6227467
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9085,Private,Davidson,Goodpasture Christian School,jbixenman@goodpasture.org,Principal: Jeff Bixenman,A,(615) 868-2600,(615) 865-1766,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12","619 Due West AVE, Madison, TN 37115",POINT (-86.7400658 36.2483112),-86.7400658,36.2483112
UPPER CUMBERLAND CORE REGIONAL OFFICE,800,SMITH COUNTY,25,Public,Smith,Gordonsville High School,Vadens1@smithcoedu.net,Principal: Johnny Shane Vaden,A,(615) 683-8245,(615) 683-5193,"7,8,9,10,11,12","110 Main Street East, Gordonsville, TN 38563",POINT (-85.92932499999999 36.171923),-85.92932499999999,36.171923
FIRST TENNESSEE CORE REGIONAL OFFICE,9820,SULLIVAN COUNTY PRIVATE SCHOOLS,9708,Private,Sullivan,Grace Academy,,Principal: Jacqueline Ross,A,(423) 247-6105,,"1,2,3,4,5,6,7,8,9,10,11,12","201 Colonial Heights Road, Kingsport, TN 37663",POINT (-82.5014372 36.4857151),-82.5014372,36.4857151
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9007,Private,Hamilton,Grace Baptist Academy,mpollock@mygracechatt.org,Principal: Matt Pollock,A,(423) 892-8224,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","7815 Shallowford RD, Chattanooga, TN 37421",POINT (-85.1350928 35.0352475),-85.1350928,35.0352475
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9041,Private,Knox,Grace Christian Academy,tony.pointer@gcarams.org,Principal: Dr. Anthony Pointer,A,(865) 691-3427,(865) 342-9827,"K,1,2,3,4,5,6,7,8,9,10,11,12","5914 Beaver Ridge RD, Knoxville, TN 37931",POINT (-84.0757912 35.98846),-84.0757912,35.98846
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9016,Private,Williamson,Grace Christian Academy,rmason@gcalions.com,Principal: Robbie Mason,A,,(615) 591-5576,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","3279 Southall RD, Franklin, TN 37064",POINT (-86.95841920000001 35.8968365),-86.95841920000001,35.8968365
MID CUMBERLAND CORE REGIONAL OFFICE,9940,WILLIAMSON COUNTY PRIVATE SCHOOLS,9017,Private,Williamson,Grace Christian Academy Umbrella Program,rmason@gcalions.com,Principal: Robbie Mason,A,(615) 591-3017,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","3279 Southall RD, Franklin, TN 37064",POINT (-86.95841920000001 35.8968365),-86.95841920000001,35.8968365
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9041,Private,Shelby,Grace Christian School,zguess@juno.com,Principal: Zack M. Guess,A,(901) 683-8014,,"2,3,4,5,6,7,8,9,10,11,12","828 Berclair RD, Memphis, TN 38122",POINT (-89.91111359999999 35.1539881),-89.9111136,35.1539881
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,32,Public,Grainger,Grainger Academy,kcombs@gcs123.net,Principal: Mr. Kip Combs,A,,(865) 828-6337,"9,10,11,12","232 Pioneer DR, Rutledge, TN 37861",POINT (-83.53478610000001 36.2724579),-83.5347861,36.2724579
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,7,Public,Grainger,Grainger Co Adult High,combsk2@k12tn.net,Principal: Kip Combs,A,(865) 828-5172,(865) 828-4357,"9,10,11,12","7850 Rutledge PIKE, Rutledge, TN 37861",POINT (-83.5215127 36.279295),-83.5215127,36.279295
EAST TENNESSEE CORE REGIONAL OFFICE,290,GRAINGER COUNTY,8,Public,Grainger,Grainger High School,mbriscoe@gcs123.net,Principal: Mark  Briscoe,A,,(865) 828-4828,"9,10,11,12","2201 Hwy 11 W South, Rutledge, TN 37861",POINT (-83.44367889999999 36.30893950000001),-83.4436789,36.30893950000001
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9277,Private,Shelby,Greater Praise Christian Academy,,Principal: Kay Johnson,A,(901) 297-6026,,"K,1,2,3,4,5,6,7,8,9,10,11","3475 North Watkins, Memphis, TN 38127",POINT (-90.00389799999999 35.2204706),-90.00389799999999,35.2204706
MID CUMBERLAND CORE REGIONAL OFFICE,950,WILSON COUNTY,12,Public,Wilson,Green Hill High School,dawsonk@wcschools.com,Principal: Kevin Dawson,A,,,"9,10,11,12","220 North Greenhill RD, Mt. Juliet, TN 37122",POINT (-86.5414095 36.2275706),-86.5414095,36.2275706
EAST TENNESSEE CORE REGIONAL OFFICE,530,LOUDON COUNTY,25,Public,Loudon,Greenback School,casteelm@loudoncounty.org ,Principal: Michael Casteel,A,(865) 856-3028,(865) 856-7348,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","6945 Morganton RD, Greenback, TN 37742",POINT (-84.1779973 35.6563746),-84.1779973,35.6563746
EAST TENNESSEE CORE REGIONAL OFFICE,780,SEVIER COUNTY,3,Public,Sevier,Greenbrier Alternative Learning Center,scottsutton@sevier.org ,Principal: Scott Sutton,A,(865) 453-8338,(865) 453-7875,"6,7,8,9,10,11,12","2851 Webb Creek RD, Sevierville, TN 37876",POINT (-83.39417039999999 35.758843),-83.3941704,35.758843
MID CUMBERLAND CORE REGIONAL OFFICE,740,ROBERTSON COUNTY,40,Public,Robertson,Greenbrier High School,katie.osborne@rcstn.net,Principal: Dr. Katie Osborne,A,(615) 643-4526,,"9,10,11,12","126 Cuniff DR, Greenbrier, TN 37073",POINT (-86.8046129 36.4190305),-86.8046129,36.4190305
FIRST TENNESSEE CORE REGIONAL OFFICE,9300,GREENE COUNTY PRIVATE SCHOOLS,9041,Private,Greene,Greene County Christian School,,Principal: Deanna Wilhoit,A,(423) 638-2217,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","9802 107 Cutoff, Greeneville, TN 37743",POINT (-82.84540389999999 36.0617195),-82.8454039,36.0617195
FIRST TENNESSEE CORE REGIONAL OFFICE,9301,GREENEVILLE PRIVATE SCHOOLS,9010,Private,Greene,Greeneville Adventist Academy,,Principal: Keith Nelson,A,(423) 639-2011,,"K,1,2,3,4,5,6,7,8,9,10","305 Takoma AVE, Greeneville, TN 37743",POINT (-82.84502519999999 36.1530586),-82.8450252,36.1530586
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,20,Public,Greene,Greeneville High School,mcdonaldm@gcschools.net,Principal: Mr. Martin McDonald,A,(423) 787-8030,(423) 787-8028,"9,10,11,12","210 Tusculum BLVD, Greeneville, TN 37745",POINT (-82.8249797 36.1656008),-82.8249797,36.1656008
FIRST TENNESSEE CORE REGIONAL OFFICE,301,GREENEVILLE,1010,Public,Greene,Greeneville/Greene Co Center For Technology,wellsr@gcschools.net,Principal: Mr. Randy Wells,A,(423) 639-0171,(423) 639-0176,"10,11,12","1121 Hal Henard RD, Greenville, TN 37743",POINT (-82.8805065 36.1555119),-82.8805065,36.1555119
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,920,WEAKLEY COUNTY,25,Public,Wayne,Greenfield School,don.mccurley@wcsk12tn.net,Principal: Don McCurley,A,(731) 235-3424,(731) 235-3480,"P4,K,1,2,3,4,5,6,7,8,9,10,11,12","319 West Main ST, Greenfield, TN 38230",POINT (-88.80716369999999 36.152274),-88.80716369999999,36.152274
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,310,GRUNDY COUNTY,20,Public,Grundy,Grundy Academy,vsitznunley@grundyk12.com,Principal: Val Sitz Nunley,A,,,"9,10,11,12","276 3rd ST, Tracy City, TN 37387",POINT (-85.7493149 35.2557462),-85.7493149,35.2557462
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,310,GRUNDY COUNTY,25,Public,Grundy,Grundy County High School,cwestmoreland@grundyk12.com,Principal: Charlie Westmoreland,A,(931) 692-5400,(931) 692-5403,"9,10,11,12","24970 SR 108, Coalmont, TN 37313",POINT (-85.70800849999999 35.37445780000001),-85.70800849999999,35.37445780000001
SOUTHWEST CORE REGIONAL OFFICE,490,LAUDERDALE COUNTY,23,Public,Lauderdale,Halls High School,amorgan@mail.lced.net,Principal: Amy Morgan,A,(731) 836-9642,,"9,10,11,12","800 West Tigrett ST, Halls, TN 38040",POINT (-89.4037625 35.8788483),-89.4037625,35.8788483
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,115,Public,Knox,Halls High School,spencer.long@knoxschools.org,Principal: Spencer Long,A,(865) 922-7757,(865) 925-7700,"9,10,11,12","4321 East Emory RD, Knoxville, TN 37938",POINT (-83.9276397 36.0866405),-83.9276397,36.0866405
FIRST TENNESSEE CORE REGIONAL OFFICE,320,HAMBLEN COUNTY,11,Public,Hamblen,Hamblen County Alternative School,wittj@hcboe.net,Principal: Richard Witt,A,(423) 585-3785,(423) 585-3786,"K,1,2,3,4,5,6,7,8,9,10,11,12","376 Snyder RD, Morristown, TN 37813",POINT (-83.24947159999999 36.2257952),-83.24947159999999,36.2257952
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,86,Public,Hamilton,Hamilton County Collegiate High at Chattanooga State,rich_sonja@HCDE.ORG,Principal: Dr. Sonja Rich,A,(423) 697-3226,(423) 697-4493,"10,11,12","4501 Amnicola HWY, Chattanooga, TN 37406",POINT (-85.24315469999999 35.100833),-85.24315469999999,35.100833
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,275,Public,Hamilton,Hamilton County Virtual School,rich_sonja@hcde.org,Principal: Dr. Sonja Rich,A,(423) 209-8804,(423) 209-8801,"K,1,2,3,4,5,6,7,8,9,10,11,12","3074 Hickory Valley RD, Chattanooga, TN 37421",POINT (-85.1542457 35.0733431),-85.1542457,35.0733431
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9041,Private,Hamilton,Hamilton Heights Christian Academy,Jason.Miller@hamiltonheights.net,Principal: Jason Miller,A,(423) 894-0597,(866) 567-4496,"9,10,11,12","5455 North Terrace RD, Chattanooga, TN 37411",POINT (-85.22230569999999 35.0057344),-85.22230569999999,35.0057344
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2317,Public,Shelby,Hamilton High,bacchusjq1@scsk12.org,Principal: James Bacchus,A,(901) 416-7838,(901) 416-7829,"9,10,11,12","1363 E Person Ave, Memphis, TN 38106",POINT (-90.01693089999999 35.0999914),-90.01693089999999,35.0999914
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,40,Public,Maury,Hampshire Unit School,sbcathey@mauryk12.org,Principal: Sonya Booker Cathey,A,(931) 285-2300,(931) 285-2612,"K,1,2,3,4,5,6,7,8,9,10,11,12","4235 Old State RD, Hampshire, TN 38461",POINT (-87.290182 35.595075),-87.290182,35.595075
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,30,Public,Carter,Hampton High School,jeffbradley@carterk12.net,Principal: Jeff Bradley,A,(423) 725-5200,(423) 725-5204,"9,10,11,12","766 1st ST, Hampton, TN 37658",POINT (-82.17595299999999 36.2763636),-82.17595299999999,36.2763636
FIRST TENNESSEE CORE REGIONAL OFFICE,340,HANCOCK COUNTY,25,Public,Hancock,Hancock High School,Mitch.Cantwell@hcsk12.com,Principal: Mitch Cantwell,A,(423) 733-4611,(423) 733-1427,"6,7,8,9,10,11,12","2700 Main ST, Sneedville, TN 37869",POINT (-83.198223 36.5432093),-83.198223,36.5432093
